
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    192.168.0.101:56832    34.196.73.180:443      TIME_WAIT       0
  TCP    192.168.0.101:56888    151.101.65.69:443      ESTABLISHED     10068
  TCP    192.168.0.101:56890    54.243.104.69:443      TIME_WAIT       0
  TCP    192.168.0.101:56891    54.243.104.69:443      TIME_WAIT       0
  TCP    192.168.0.101:56893    54.243.104.69:443      TIME_WAIT       0
  TCP    192.168.0.101:56898    104.16.111.18:443      ESTABLISHED     10068
  TCP    192.168.0.101:56904    104.16.3.9:443         ESTABLISHED     10068
  TCP    192.168.0.101:56906    104.16.3.9:443         ESTABLISHED     10068
  TCP    192.168.0.101:56907    104.16.3.9:443         ESTABLISHED     10068
  TCP    192.168.0.101:56910    184.31.47.230:443      ESTABLISHED     10068
  TCP    192.168.0.101:56911    192.0.73.2:443         ESTABLISHED     10068
  TCP    192.168.0.101:56912    203.208.40.40:443      ESTABLISHED     10068
  TCP    192.168.0.101:56913    54.243.104.69:443      TIME_WAIT       0
  TCP    192.168.0.101:56943    184.85.121.165:443     ESTABLISHED     10068
  TCP    192.168.0.101:56944    104.17.29.15:443       ESTABLISHED     10068
  TCP    192.168.0.101:56962    58.39.103.116:4466     ESTABLISHED     6308
  TCP    192.168.0.101:57069    203.208.41.175:443     ESTABLISHED     10068
  TCP    192.168.0.101:57080    184.84.53.42:443       TIME_WAIT       0
  TCP    192.168.0.101:57082    203.208.41.38:443      ESTABLISHED     10068
  TCP    192.168.0.101:57083    104.20.16.110:443      ESTABLISHED     10068
  TCP    192.168.0.101:57111    34.196.73.180:443      ESTABLISHED     10068
  TCP    192.168.0.101:57112    34.196.73.180:443      TIME_WAIT       0
  TCP    192.168.0.101:57162    192.0.77.2:443         ESTABLISHED     10068
  TCP    192.168.0.101:57188    93.46.8.89:443         SYN_SENT        10068
  TCP    192.168.0.101:57189    74.125.23.101:443      SYN_SENT        10068
  TCP    192.168.0.101:57190    74.125.23.101:443      SYN_SENT        10068
  TCP    192.168.0.101:57191    74.125.204.139:443     SYN_SENT        10068
  TCP    192.168.0.101:57192    74.125.204.138:443     SYN_SENT        10068
  TCP    192.168.0.101:57193    74.125.204.138:443     SYN_SENT        10068
  TCP    192.168.0.101:57194    74.125.204.138:443     SYN_SENT        10068
  TCP    192.168.0.101:57195    108.177.97.95:443      SYN_SENT        10068
  TCP    192.168.0.101:57196    108.177.97.95:443      SYN_SENT        10068
  TCP    192.168.0.101:57197    74.125.204.139:443     SYN_SENT        10068
  TCP    192.168.0.101:58983    106.11.186.3:80        CLOSE_WAIT      5928
  TCP    192.168.0.101:58988    180.163.155.10:80      CLOSE_WAIT      5928
  TCP    192.168.0.101:59070    106.11.209.2:80        CLOSE_WAIT      5928
  TCP    192.168.0.101:60463    116.211.186.209:80     CLOSE_WAIT      3108
  TCP    192.168.154.1:139      0.0.0.0:0              LISTENING       4
  TCP    192.168.204.1:139      0.0.0.0:0              LISTENING       4
  TCP    [::]:135               [::]:0                 LISTENING       204
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:49152             [::]:0                 LISTENING       728
